index	id	name	cluster	distance_to_centroid	distance_to_nearest_other_cluster	boundary_ratio	cluster_name	boundary_position
0	T1055.011	Extra Window Memory Injection	1	7.536751215516923	9.242948984754848	1.2263835562651442	Mixed_General_Purpose	Interior
1	T1053.005	Scheduled Task	2	5.974803180056081	6.596944685326296	1.1041273465240788	Discovery_Reconnaissance	Boundary
2	T1205.002	Socket Filters	1	7.025557364085996	8.475721125362805	1.2064124566511192	Mixed_General_Purpose	Interior
3	T1066	Indicator Removal from Tools	1	6.370024315103035	6.940991550636847	1.089633275739121	Mixed_General_Purpose	Boundary
4	T1560.001	Archive via Utility	0	7.460070041843987	9.32244514013399	1.2496456250676213	Evasion_Persistence	Interior
5	T1021.005	VNC	2	7.632540429288122	7.69649228196856	1.0083787101940962	Discovery_Reconnaissance	Boundary
6	T1047	Windows Management Instrumentation	2	8.494048032063189	9.18912576103189	1.081831023855047	Discovery_Reconnaissance	Boundary
7	T1156	Malicious Shell Modification	1	18.62294258632645	19.841398027835723	1.0654275966557671	Mixed_General_Purpose	Boundary
8	T1113	Screen Capture	2	7.316187100850923	7.374349906415958	1.0079497416910685	Discovery_Reconnaissance	Boundary
9	T1027.011	Fileless Storage	0	7.682398322355121	8.041448103365477	1.0467365423150492	Evasion_Persistence	Boundary
10	T1067	Bootkit	1	6.270647772881815	7.714703930272019	1.230287998848731	Mixed_General_Purpose	Interior
11	T1037	Boot or Logon Initialization Scripts	1	8.98965610172276	9.289606375013452	1.0333660416517123	Mixed_General_Purpose	Boundary
12	T1557	Adversary-in-the-Middle	2	7.018350839869817	7.454102006347519	1.0620872501720837	Discovery_Reconnaissance	Boundary
13	T1033	System Owner/User Discovery	2	7.15659074554327	7.979122155787389	1.1149332586641323	Discovery_Reconnaissance	Boundary
14	T1583	Acquire Infrastructure	2	6.418641210828548	7.645185316815376	1.1910907425121144	Discovery_Reconnaissance	Boundary
15	T1218.011	Rundll32	2	7.0284391493601905	8.231043967492864	1.1711053651416734	Discovery_Reconnaissance	Boundary
16	T1613	Container and Resource Discovery	1	7.575894310998534	8.534193816094012	1.126493102894946	Mixed_General_Purpose	Boundary
17	T1583.007	Serverless	1	6.556919409686151	7.3693362581403195	1.1239020451207604	Mixed_General_Purpose	Boundary
18	T1143	Hidden Window	1	6.101842012599893	7.1901672279328555	1.178359917337376	Mixed_General_Purpose	Boundary
19	T1161	LC_LOAD_DYLIB Addition	1	6.461757675599312	7.916546415891224	1.2251380488388455	Mixed_General_Purpose	Interior
20	T1132.001	Standard Encoding	2	6.011486734508505	6.934274893158822	1.153503957656459	Discovery_Reconnaissance	Boundary
21	T1027.009	Embedded Payloads	0	5.92297209982234	6.960086032307949	1.1751000578605897	Evasion_Persistence	Boundary
