ID	Name	Type
T1055.011	Extra Window Memory Injection	Adversaries may inject malicious code into process via Extra Window Memory (EWM) in order to evade p
T1053.005	Scheduled Task	Adversaries may abuse the Windows Task Scheduler to perform task scheduling for initial or recurring
T1205.002	Socket Filters	Adversaries may attach filters to a network socket to monitor then activate backdoors used for persi
T1066	Indicator Removal from Tools	If a malicious tool is detected and quarantined or otherwise curtailed, an adversary may be able to 
T1560.001	Archive via Utility	Adversaries may use utilities to compress and/or encrypt collected data prior to exfiltration. Many 
T1021.005	VNC	Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to remotely control 
T1047	Windows Management Instrumentation	Adversaries may abuse Windows Management Instrumentation (WMI) to execute malicious commands and pay
T1156	Malicious Shell Modification	Adversaries may establish persistence through executing malicious commands triggered by a user’s she
T1113	Screen Capture	Adversaries may attempt to take screen captures of the desktop to gather information over the course
T1027.011	Fileless Storage	Adversaries may store data in "fileless" formats to conceal malicious activity from defenses. Filele
T1067	Bootkit	A bootkit is a malware variant that modifies the boot sectors of a hard drive, including the Master 
T1037	Boot or Logon Initialization Scripts	Adversaries may use scripts automatically executed at boot or logon initialization to establish pers
T1557	Adversary-in-the-Middle	Adversaries may attempt to position themselves between two or more networked devices using an advers
T1033	System Owner/User Discovery	Adversaries may attempt to identify the primary user, currently logged in user, set of users that co
T1583	Acquire Infrastructure	Adversaries may buy, lease, rent, or obtain infrastructure that can be used during targeting. A wide
T1218.011	Rundll32	Adversaries may abuse rundll32.exe to proxy execution of malicious code. Using rundll32.exe, vice ex
T1613	Container and Resource Discovery	Adversaries may attempt to discover containers and other resources that are available within a conta
T1583.007	Serverless	Adversaries may purchase and configure serverless cloud infrastructure, such as Cloudflare Workers, 
T1143	Hidden Window	Adversaries may implement hidden windows to conceal malicious activity from the plain sight of users
T1161	LC_LOAD_DYLIB Addition	Mach-O binaries have a series of headers that are used to perform certain operations when a binary i
T1132.001	Standard Encoding	Adversaries may encode data with a standard data encoding system to make the content of command and 
T1027.009	Embedded Payloads	Adversaries may embed payloads within other files to conceal malicious content from defenses. Otherw
T1150	Plist Modification	Property list (plist) files contain all of the information that macOS and OS X uses to configure app
T1556.003	Pluggable Authentication Modules	Adversaries may modify pluggable authentication modules (PAM) to access user credentials or enable o
T1578.004	Revert Cloud Instance	An adversary may revert changes made to a cloud instance after they have performed malicious activit
T1148	HISTCONTROL	The <code>HISTCONTROL</code> environment variable keeps track of what should be saved by the <code>h
T1592	Gather Victim Host Information	Adversaries may gather information about the victim's hosts that can be used during targeting. Infor
T1596.003	Digital Certificates	Adversaries may search public digital certificate data for information about victims that can be use
T1056.001	Keylogging	Adversaries may log user keystrokes to intercept credentials as the user types them. Keylogging is l
T1564.012	File/Path Exclusions	Adversaries may attempt to hide their file-based artifacts by writing them to specific folders or fi
T1222.002	Linux and Mac File and Directory Permissions Modification	Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs)
T1110.001	Password Guessing	Adversaries with no prior knowledge of legitimate credentials within the system or environment may g
T1216.001	PubPrn	Adversaries may use PubPrn to proxy execution of malicious remote files. PubPrn.vbs is a [Visual Bas
T1597.002	Purchase Technical Data	Adversaries may purchase technical information about victims that can be used during targeting. Info
T1003	OS Credential Dumping	Adversaries may attempt to dump credentials to obtain account login and credential material, normall
T1129	Shared Modules	Adversaries may execute malicious payloads via loading shared modules. Shared modules are executable
T1602	Data from Configuration Repository	Adversaries may collect data related to managed devices from configuration repositories. Configurati
T1561.002	Disk Structure Wipe	Adversaries may corrupt or wipe the disk data structures on a hard drive necessary to boot a system;
T1498.001	Direct Network Flood	Adversaries may attempt to cause a denial of service (DoS) by directly sending a high-volume of netw
T1492	Stored Data Manipulation	Adversaries may insert, delete, or manipulate data at rest in order to manipulate external outcomes 
T1574.007	Path Interception by PATH Environment Variable	Adversaries may execute their own malicious payloads by hijacking environment variables used to load
T1213.002	Sharepoint	Adversaries may leverage the SharePoint repository as a source to mine valuable information. SharePo
T1006	Direct Volume Access	Adversaries may directly access a volume to bypass file access controls and file system monitoring. 
T1044	File System Permissions Weakness	Processes may automatically execute specific binaries as part of their functionality or to perform o
T1588.007	Artificial Intelligence	Adversaries may obtain access to generative artificial intelligence tools, such as large language mo
